code	term	range	group
8171/3	Hepatocellular carcinoma, fibrolamellar	814-838	Adenomas and adenocarcinomas
8172/3	Hepatocellular carcinoma, scirrhous	814-838	Adenomas and adenocarcinomas
8173/3	Hepatocellular carcinoma, spindle cell variant	814-838	Adenomas and adenocarcinomas
8174/3	Hepatocellular carcinoma, clear cell type	814-838	Adenomas and adenocarcinomas
8175/3	Hepatocellular carcinoma, pleomorphic type	814-838	Adenomas and adenocarcinomas
8180/3	Combined hepatocellular carcinoma and cholangiocarcinoma	814-838	Adenomas and adenocarcinomas
8190/0	Trabecular adenoma	814-838	Adenomas and adenocarcinomas
8190/3	Trabecular adenocarcinoma	814-838	Adenomas and adenocarcinomas
8191/0	Embryonal adenoma	814-838	Adenomas and adenocarcinomas
8200/0	Eccrine dermal cylindroma	814-838	Adenomas and adenocarcinomas
8200/3	Adenoid cystic carcinoma	814-838	Adenomas and adenocarcinomas
8201/2	Cribriform carcinoma in situ	814-838	Adenomas and adenocarcinomas
8201/3	Cribriform carcinoma, NOS	814-838	Adenomas and adenocarcinomas
8202/0	Microcystic adenoma	814-838	Adenomas and adenocarcinomas
8204/0	Lactating adenoma	814-838	Adenomas and adenocarcinomas
8210/0	Adenomatous polyp, NOS	814-838	Adenomas and adenocarcinomas
8210/2	Adenocarcinoma in situ in adenomatous polyp	814-838	Adenomas and adenocarcinomas
8210/3	Adenocarcinoma in adenomatous polyp	814-838	Adenomas and adenocarcinomas
8211/0	Tubular adenoma, NOS	814-838	Adenomas and adenocarcinomas
8211/3	Tubular adenocarcinoma	814-838	Adenomas and adenocarcinomas
8212/0	Flat adenoma	814-838	Adenomas and adenocarcinomas
8213/0	Serrated adenoma, NOS	814-838	Adenomas and adenocarcinomas
8213/3	Serrated adenocarcinoma	814-838	Adenomas and adenocarcinomas
8214/3	Parietal cell carcinoma	814-838	Adenomas and adenocarcinomas
8215/3	Adenocarcinoma of anal glands	814-838	Adenomas and adenocarcinomas
8220/0	Adenomatous polyposis coli	814-838	Adenomas and adenocarcinomas
8220/3	Adenocarcinoma in adenomatous polyposis coli	814-838	Adenomas and adenocarcinomas
8221/0	Multiple adenomatous polyps	814-838	Adenomas and adenocarcinomas
8221/3	Adenocarcinoma in multiple adenomatous polyps	814-838	Adenomas and adenocarcinomas
8230/2	Ductal carcinoma in situ, solid type	814-838	Adenomas and adenocarcinomas
8230/3	Solid carcinoma, NOS	814-838	Adenomas and adenocarcinomas
8231/3	Carcinoma simplex	814-838	Adenomas and adenocarcinomas
8240/3	Neuroendocrine tumor, NOS	814-838	Adenomas and adenocarcinomas
8241/3	Enterochromaffin cell carcinoid	814-838	Adenomas and adenocarcinomas
8242/3	Enterochromaffin-like cell tumor, malignant	814-838	Adenomas and adenocarcinomas
8243/3	Goblet cell carcinoid	814-838	Adenomas and adenocarcinomas
8244/3	Mixed adenoneuroendocrine carcinoma	814-838	Adenomas and adenocarcinomas
8245/1	Tubular carcinoid	814-838	Adenomas and adenocarcinomas
8245/3	Adenocarcinoid tumor	814-838	Adenomas and adenocarcinomas
8246/3	Neuroendocrine carcinoma, NOS	814-838	Adenomas and adenocarcinomas
8247/3	Merkel cell carcinoma	814-838	Adenomas and adenocarcinomas
8248/1	Apudoma	814-838	Adenomas and adenocarcinomas
8249/3	Neuroendocrine tumor, grade 2	814-838	Adenomas and adenocarcinomas
8250/0	Atypical adenomatous hyperplasia	814-838	Adenomas and adenocarcinomas
8250/1	Pulmonary adenomatosis	814-838	Adenomas and adenocarcinomas
8250/2	Adenocarcinoma in situ of the lung, non-mucinous	814-838	Adenomas and adenocarcinomas
8250/3	Lepidic adenocarcinoma	814-838	Adenomas and adenocarcinomas
8251/0	Alveolar adenoma	814-838	Adenomas and adenocarcinomas
8251/3	Alveolar adenocarcinoma	814-838	Adenomas and adenocarcinomas
8252/3	Bronchiolo-alveolar carcinoma, non-mucinous	814-838	Adenomas and adenocarcinomas
8253/2	Adenocarcinoma in situ of the lung, mucinous	814-838	Adenomas and adenocarcinomas
8253/3	Adenocarcinoma of the lung, mucinous	814-838	Adenomas and adenocarcinomas
8254/3	Adenocarcinoma of the lung, mixed mucinous and non-mucinous	814-838	Adenomas and adenocarcinomas
8255/3	Adenocarcinoma with mixed subtypes	814-838	Adenomas and adenocarcinomas
8256/3	Minimally invasive adenocarcinoma, non-mucinous	814-838	Adenomas and adenocarcinomas
8257/3	Minimally invasive adenocarcinoma, mucinous	814-838	Adenomas and adenocarcinomas
8260/0	Papillary adenoma, NOS	814-838	Adenomas and adenocarcinomas
8260/1	Aggressive papillary tumor	814-838	Adenomas and adenocarcinomas
8260/3	Papillary adenocarcinoma, NOS	814-838	Adenomas and adenocarcinomas
8261/0	Villous adenoma, NOS	814-838	Adenomas and adenocarcinomas
8261/2	Adenocarcinoma in situ in villous adenoma	814-838	Adenomas and adenocarcinomas
8261/3	Adenocarcinoma in villous adenoma	814-838	Adenomas and adenocarcinomas
8262/3	Villous adenocarcinoma	814-838	Adenomas and adenocarcinomas
8263/0	Tubulovillous adenoma, NOS	814-838	Adenomas and adenocarcinomas
8263/2	Adenocarcinoma in situ in tubulovillous adenoma	814-838	Adenomas and adenocarcinomas
8263/3	Adenocarcinoma in tubulovillous adenoma	814-838	Adenomas and adenocarcinomas
8264/0	Papillomatosis, glandular	814-838	Adenomas and adenocarcinomas
8265/3	Micropapillary carcinoma, NOS	814-838	Adenomas and adenocarcinomas
8270/0	Chromophobe adenoma	814-838	Adenomas and adenocarcinomas
8270/3	Chromophobe carcinoma	814-838	Adenomas and adenocarcinomas
8271/0	Lactotroph adenoma	814-838	Adenomas and adenocarcinomas
8272/0	Pituitary adenoma, NOS	814-838	Adenomas and adenocarcinomas
8272/3	Pituitary carcinoma, NOS	814-838	Adenomas and adenocarcinomas
8273/3	Pituitary blastoma	814-838	Adenomas and adenocarcinomas
8280/0	Acidophil adenoma	814-838	Adenomas and adenocarcinomas
8280/3	Acidophil carcinoma	814-838	Adenomas and adenocarcinomas
8281/0	Mixed acidophil-basophil adenoma	814-838	Adenomas and adenocarcinomas
8281/3	Mixed acidophil-basophil carcinoma	814-838	Adenomas and adenocarcinomas
8290/0	Oxyphilic adenoma	814-838	Adenomas and adenocarcinomas
8290/3	Oxyphilic adenocarcinoma	814-838	Adenomas and adenocarcinomas
8300/0	Basophil adenoma	814-838	Adenomas and adenocarcinomas
8300/3	Basophil carcinoma	814-838	Adenomas and adenocarcinomas
8310/0	Clear cell adenoma	814-838	Adenomas and adenocarcinomas
8310/3	Clear cell adenocarcinoma, NOS	814-838	Adenomas and adenocarcinomas
8311/1	Hypernephroid tumor	814-838	Adenomas and adenocarcinomas
8311/3	Hereditary leiomyomatosis and renal cell carcinoma (HRCC)-associated renal cell carcinoma	814-838	Adenomas and adenocarcinomas
8312/3	Renal cell carcinoma, NOS	814-838	Adenomas and adenocarcinomas
8313/0	Clear cell adenofibroma	814-838	Adenomas and adenocarcinomas
