code	term	range	group
8092/3	Basal cell carcinoma, desmoplastic type	809-811	Basal cell neoplasms
8092/3	Basal cell carcinoma, morpheic	809-811	Basal cell neoplasms
8093/3	Basal cell carcinoma, fibroepithelial	809-811	Basal cell neoplasms
8093/3	Fibroepithelioma, NOS	809-811	Basal cell neoplasms
8093/3	Fibroepithelioma of Pinkus type	809-811	Basal cell neoplasms
8093/3	Fibroepithelial basal cell carcinoma, Pinkus type	809-811	Basal cell neoplasms
8093/3	Pinkus tumor	809-811	Basal cell neoplasms
8094/3	Basosquamous carcinoma	809-811	Basal cell neoplasms
8094/3	Mixed basal-squamous cell carcinoma	809-811	Basal cell neoplasms
8095/3	Metatypical carcinoma	809-811	Basal cell neoplasms
8096/0	Intraepidermal epithelioma of Jadassohn	809-811	Basal cell neoplasms
8097/3	Basal cell carcinoma, nodular	809-811	Basal cell neoplasms
8098/3	Adenoid basal carcinoma	809-811	Basal cell neoplasms
8100/0	Trichoepithelioma	809-811	Basal cell neoplasms
8100/0	Brooke tumor	809-811	Basal cell neoplasms
8100/0	Epithelioma adenoides cysticum	809-811	Basal cell neoplasms
8100/3	Trichoblastic carcinoma	809-811	Basal cell neoplasms
8101/0	Trichofolliculoma	809-811	Basal cell neoplasms
8102/0	Trichilemmoma	809-811	Basal cell neoplasms
8102/3	Trichilemmocarcinoma	809-811	Basal cell neoplasms
8102/3	Trichilemmal carcinoma	809-811	Basal cell neoplasms
8103/0	Pilar tumor	809-811	Basal cell neoplasms
8103/1	Proliferating trichilemmal cyst	809-811	Basal cell neoplasms
8103/1	Proliferating trichilemmal tumor	809-811	Basal cell neoplasms
8104/0	Pilar sheath acanthoma	809-811	Basal cell neoplasms
8110/0	Pilomatricoma, NOS	809-811	Basal cell neoplasms
8110/0	Pilomatrixoma, NOS	809-811	Basal cell neoplasms
8110/0	Calcifying epithelioma of Malherbe	809-811	Basal cell neoplasms
8110/3	Pilomatrical carcinoma	809-811	Basal cell neoplasms
8110/3	Pilomatrix carcinoma	809-811	Basal cell neoplasms
8110/3	Matrical carcinoma	809-811	Basal cell neoplasms
8110/3	Pilomatricoma, malignant	809-811	Basal cell neoplasms
8110/3	Pilomatrixoma, malignant	809-811	Basal cell neoplasms
8120/0	Urothelial papilloma, NOS	812-813	Transitional cell papillomas and carcinomas
8120/0	Transitional cell papilloma, benign	812-813	Transitional cell papillomas and carcinomas
8120/0	Transitional papilloma	812-813	Transitional cell papillomas and carcinomas
8120/0	Transitional cell papilloma, NOS	812-813	Transitional cell papillomas and carcinomas
8120/0	Papilloma of bladder	812-813	Transitional cell papillomas and carcinomas
8120/2	Urothelial carcinoma in situ	812-813	Transitional cell papillomas and carcinomas
8120/2	Transitional cell carcinoma in situ	812-813	Transitional cell papillomas and carcinomas
8120/3	Transitional cell carcinoma, NOS	812-813	Transitional cell papillomas and carcinomas
8120/3	Urothelial carcinoma, NOS	812-813	Transitional cell papillomas and carcinomas
8121/0	Sinonasal papilloma, exophytic	812-813	Transitional cell papillomas and carcinomas
8121/0	Schneiderian papilloma, NOS	812-813	Transitional cell papillomas and carcinomas
8121/0	Sinonasal papilloma, NOS	812-813	Transitional cell papillomas and carcinomas
8121/0	Sinonasal papilloma, fungiform	812-813	Transitional cell papillomas and carcinomas
8121/0	Transitional cell papilloma, inverted, NOS	812-813	Transitional cell papillomas and carcinomas
8121/1	Sinonasal papilloma, inverted	812-813	Transitional cell papillomas and carcinomas
8121/3	Schneiderian carcinoma	812-813	Transitional cell papillomas and carcinomas
8122/3	Urothelial carcinoma, sarcomatoid 	812-813	Transitional cell papillomas and carcinomas
8122/3	Urothelial carcinoma, spindle cell	812-813	Transitional cell papillomas and carcinomas
8122/3	Transitional cell carcinoma, spindle cell	812-813	Transitional cell papillomas and carcinomas
8122/3	Transitional cell carcinoma, sarcomatoid	812-813	Transitional cell papillomas and carcinomas
8123/3	Basaloid carcinoma	812-813	Transitional cell papillomas and carcinomas
8124/3	Cloacogenic carcinoma	812-813	Transitional cell papillomas and carcinomas
8130/1	Papillary urothelial neoplasm of low malignant potential	812-813	Transitional cell papillomas and carcinomas
8130/1	Papillary transitional cell neoplasm of low malignant potential	812-813	Transitional cell papillomas and carcinomas
8130/2	Papillary urothelial carcinoma, non-invasive	812-813	Transitional cell papillomas and carcinomas
8130/2	Papillary transitional cell carcinoma, non-invasive	812-813	Transitional cell papillomas and carcinomas
8130/3	Papillary transitional cell carcinoma	812-813	Transitional cell papillomas and carcinomas
8130/3	Papillary urothelial carcinoma	812-813	Transitional cell papillomas and carcinomas
8131/3	Urothelial carcinoma, micropapillary	812-813	Transitional cell papillomas and carcinomas
8131/3	Transitional cell carcinoma, micropapillary	812-813	Transitional cell papillomas and carcinomas
8140/0	Adenoma, NOS	814-838	Adenomas and adenocarcinomas
8140/1	Atypical adenoma	814-838	Adenomas and adenocarcinomas
8140/1	Bronchial adenoma, NOS	814-838	Adenomas and adenocarcinomas
8140/2	Adenocarcinoma in situ, NOS	814-838	Adenomas and adenocarcinomas
8140/3	Adenocarcinoma, NOS	814-838	Adenomas and adenocarcinomas
8140/3	Adenocarcinoma, usual type	814-838	Adenomas and adenocarcinomas
8140/6	Adenocarcinoma, metastatic, NOS	814-838	Adenomas and adenocarcinomas
8141/3	Scirrhous adenocarcinoma	814-838	Adenomas and adenocarcinomas
8141/3	Carcinoma with productive fibrosis	814-838	Adenomas and adenocarcinomas
8141/3	Scirrhous carcinoma	814-838	Adenomas and adenocarcinomas
8142/3	Linitis plastica	814-838	Adenomas and adenocarcinomas
8143/3	Superficial spreading adenocarcinoma	814-838	Adenomas and adenocarcinomas
8144/0	Adenoma, intestinal type	814-838	Adenomas and adenocarcinomas
8144/3	Adenocarcinoma, intestinal type	814-838	Adenomas and adenocarcinomas
8144/3	Adenocarcinoma, enteric	814-838	Adenomas and adenocarcinomas
8144/3	Carcinoma, intestinal type	814-838	Adenomas and adenocarcinomas
8144/3	Mucinous carcinoma, intestinal type	814-838	Adenomas and adenocarcinomas
8145/3	Carcinoma, diffuse type	814-838	Adenomas and adenocarcinomas
8145/3	Adenocarcinoma, diffuse type	814-838	Adenomas and adenocarcinomas
8146/0	Monomorphic adenoma	814-838	Adenomas and adenocarcinomas
8147/0	Basal cell adenoma	814-838	Adenomas and adenocarcinomas
8147/3	Basal cell adenocarcinoma	814-838	Adenomas and adenocarcinomas
8148/0	Glandular intraepithelial neoplasia, low grade	814-838	Adenomas and adenocarcinomas
8148/0	Glandular intraepithelial neoplasia, grade I	814-838	Adenomas and adenocarcinomas
8148/0	Glandular intraepithelial neoplasia, grade II	814-838	Adenomas and adenocarcinomas
8148/2	Glandular intraepithelial neoplasia, high grade	814-838	Adenomas and adenocarcinomas
8148/2	Glandular intraepithelial neoplasia, grade III	814-838	Adenomas and adenocarcinomas
8148/2	Flat intraepithelial neoplasia, high grade	814-838	Adenomas and adenocarcinomas
8148/2	Biliary intraepithelial neoplasia, grade 3 (BilIN-3)	814-838	Adenomas and adenocarcinomas
8148/2	Esophageal intraepithelial neoplasia, high grade	814-838	Adenomas and adenocarcinomas
8148/2	PIN III	814-838	Adenomas and adenocarcinomas
8148/2	Prostatic intraepithelial neoplasia, high grade	814-838	Adenomas and adenocarcinomas
8149/0	Canalicular adenoma	814-838	Adenomas and adenocarcinomas
8150/0	Pancreatic neuroendocrine microadenoma	814-838	Adenomas and adenocarcinomas
8150/0	Pancreatic endocrine tumor, benign	814-838	Adenomas and adenocarcinomas
8150/0	Islet cell tumor, benign	814-838	Adenomas and adenocarcinomas
8150/3	Pancreatic neuroendocrine tumor, nonfunctioning	814-838	Adenomas and adenocarcinomas
8150/3	Pancreatic endocrine tumor, nonfunctioning	814-838	Adenomas and adenocarcinomas
8150/3	Pancreatic endocrine tumor, NOS	814-838	Adenomas and adenocarcinomas
8151/3	Insulinoma, NOS	814-838	Adenomas and adenocarcinomas
8151/3	Beta cell adenoma	814-838	Adenomas and adenocarcinomas
8151/3	Beta cell tumor, malignant	814-838	Adenomas and adenocarcinomas
8152/3	Glucagonoma, NOS	814-838	Adenomas and adenocarcinomas
8152/3	Alpha cell tumor, NOS	814-838	Adenomas and adenocarcinomas
8152/3	PP/PYY producing tumor	814-838	Adenomas and adenocarcinomas
8153/3	Gastrinoma, NOS	814-838	Adenomas and adenocarcinomas
8153/3	G cell tumor, NOS	814-838	Adenomas and adenocarcinomas
8153/3	Gastrin cell tumor	814-838	Adenomas and adenocarcinomas
8154/3	Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN)	814-838	Adenomas and adenocarcinomas
8154/3	Mixed islet cell and exocrine adenocarcinoma	814-838	Adenomas and adenocarcinomas
8154/3	Mixed acinar-neuroendocrine carcinoma	814-838	Adenomas and adenocarcinomas
8154/3	Mixed ductal-neuroendocrine carcinoma	814-838	Adenomas and adenocarcinomas
8155/3	Vipoma, NOS	814-838	Adenomas and adenocarcinomas
8156/3	Somatostatinoma, NOS	814-838	Adenomas and adenocarcinomas
8156/3	Somatostatin cell tumor, NOS	814-838	Adenomas and adenocarcinomas
8158/3	ACTH-producing tumor	814-838	Adenomas and adenocarcinomas
8160/0	Bile duct adenoma	814-838	Adenomas and adenocarcinomas
8160/0	Cholangioma	814-838	Adenomas and adenocarcinomas
8160/3	Cholangiocarcinoma	814-838	Adenomas and adenocarcinomas
8160/3	Bile duct adenocarcinoma	814-838	Adenomas and adenocarcinomas
8160/3	Bile duct carcinoma	814-838	Adenomas and adenocarcinomas
8161/0	Bile duct cystadenoma	814-838	Adenomas and adenocarcinomas
8161/3	Bile duct cystadenocarcinoma	814-838	Adenomas and adenocarcinomas
8162/3	Klatskin tumor	814-838	Adenomas and adenocarcinomas
8163/0	Pancreatobiliary neoplasm, non-invasive	814-838	Adenomas and adenocarcinomas
8163/0	Non-invasive pancreatobiliary papillary neoplasm with low grade dysplasia	814-838	Adenomas and adenocarcinomas
8163/0	Non-invasive pancreatobiliary papillary neoplasm with low grade intraepithelial neoplasia	814-838	Adenomas and adenocarcinomas
8163/2	Papillary neoplasm, pancreatobiliary type, with high grade intraepithelial neoplasia	814-838	Adenomas and adenocarcinomas
8163/2	Non-invasive pancreatobiliary papillary neoplasm with high grade dysplasia	814-838	Adenomas and adenocarcinomas
8163/2	Non-invasive pancreatobiliary papillary neoplasm with high grade intraepithelial neoplasia	814-838	Adenomas and adenocarcinomas
8163/3	Pancreatobiliary type carcinoma	814-838	Adenomas and adenocarcinomas
8163/3	Adenocarcinoma, pancreatobiliary type	814-838	Adenomas and adenocarcinomas
8170/0	Liver cell adenoma	814-838	Adenomas and adenocarcinomas
8170/0	Hepatocellular adenoma	814-838	Adenomas and adenocarcinomas
8170/0	Hepatoma, benign	814-838	Adenomas and adenocarcinomas
8170/3	Hepatocellular carcinoma, NOS	814-838	Adenomas and adenocarcinomas
8170/3	Hepatoma, NOS	814-838	Adenomas and adenocarcinomas
8170/3	Hepatocarcinoma	814-838	Adenomas and adenocarcinomas
8170/3	Hepatoma, malignant	814-838	Adenomas and adenocarcinomas
8170/3	Liver cell carcinoma	814-838	Adenomas and adenocarcinomas
8171/3	Hepatocellular carcinoma, fibrolamellar	814-838	Adenomas and adenocarcinomas
8172/3	Hepatocellular carcinoma, scirrhous	814-838	Adenomas and adenocarcinomas
8172/3	Sclerosing hepatic carcinoma	814-838	Adenomas and adenocarcinomas
8173/3	Hepatocellular carcinoma, spindle cell variant	814-838	Adenomas and adenocarcinomas
8173/3	Hepatocellular carcinoma, sarcomatoid	814-838	Adenomas and adenocarcinomas
8174/3	Hepatocellular carcinoma, clear cell type	814-838	Adenomas and adenocarcinomas
8175/3	Hepatocellular carcinoma, pleomorphic type	814-838	Adenomas and adenocarcinomas
8180/3	Combined hepatocellular carcinoma and cholangiocarcinoma	814-838	Adenomas and adenocarcinomas
8180/3	Hepatocholangiocarcinoma	814-838	Adenomas and adenocarcinomas
8180/3	Mixed hepatocellular and bile duct carcinoma	814-838	Adenomas and adenocarcinomas
8190/0	Trabecular adenoma	814-838	Adenomas and adenocarcinomas
8190/3	Trabecular adenocarcinoma	814-838	Adenomas and adenocarcinomas
8190/3	Trabecular carcinoma	814-838	Adenomas and adenocarcinomas
8191/0	Embryonal adenoma	814-838	Adenomas and adenocarcinomas
8200/0	Eccrine dermal cylindroma	814-838	Adenomas and adenocarcinomas
8200/3	Adenoid cystic carcinoma	814-838	Adenomas and adenocarcinomas
8200/3	Cylindroma, NOS	814-838	Adenomas and adenocarcinomas
8200/3	Adenocarcinoma, cylindroid	814-838	Adenomas and adenocarcinomas
8200/3	Adenocystic carcinoma	814-838	Adenomas and adenocarcinomas
8201/2	Cribriform carcinoma in situ	814-838	Adenomas and adenocarcinomas
8201/2	Ductal carcinoma in situ, cribriform type	814-838	Adenomas and adenocarcinomas
8201/3	Cribriform carcinoma, NOS	814-838	Adenomas and adenocarcinomas
8201/3	Ductal carcinoma, cribriform type	814-838	Adenomas and adenocarcinomas
8201/3	Adenocarcinoma, cribriform comedo type	814-838	Adenomas and adenocarcinomas
8202/0	Microcystic adenoma	814-838	Adenomas and adenocarcinomas
8204/0	Lactating adenoma	814-838	Adenomas and adenocarcinomas
8210/0	Adenomatous polyp, NOS	814-838	Adenomas and adenocarcinomas
8210/0	Polypoid adenoma	814-838	Adenomas and adenocarcinomas
8210/2	Adenocarcinoma in situ in adenomatous polyp	814-838	Adenomas and adenocarcinomas
8210/2	Adenocarcinoma in situ in polyp, NOS	814-838	Adenomas and adenocarcinomas
8210/2	Carcinoma in situ in polyp, NOS	814-838	Adenomas and adenocarcinomas
8210/2	Adenocarcinoma in situ in polypoid adenoma	814-838	Adenomas and adenocarcinomas
8210/2	Adenocarcinoma in situ in tubular adenoma	814-838	Adenomas and adenocarcinomas
8210/2	Carcinoma in situ in adenomatous polyp	814-838	Adenomas and adenocarcinomas
8210/3	Adenocarcinoma in adenomatous polyp	814-838	Adenomas and adenocarcinomas
8210/3	Adenocarcinoma in polyp, NOS	814-838	Adenomas and adenocarcinomas
8210/3	Carcinoma in polyp, NOS	814-838	Adenomas and adenocarcinomas
8210/3	Adenocarcinoma in polypoid adenoma	814-838	Adenomas and adenocarcinomas
8210/3	Adenocarcinoma in tubular adenoma	814-838	Adenomas and adenocarcinomas
8210/3	Carcinoma in adenomatous polyp	814-838	Adenomas and adenocarcinomas
8211/0	Tubular adenoma, NOS	814-838	Adenomas and adenocarcinomas
8211/3	Tubular adenocarcinoma	814-838	Adenomas and adenocarcinomas
8211/3	Tubular carcinoma	814-838	Adenomas and adenocarcinomas
8212/0	Flat adenoma	814-838	Adenomas and adenocarcinomas
8213/0	Serrated adenoma, NOS	814-838	Adenomas and adenocarcinomas
8213/0	Traditional serrated adenoma	814-838	Adenomas and adenocarcinomas
8213/3	Serrated adenocarcinoma	814-838	Adenomas and adenocarcinomas
8214/3	Parietal cell carcinoma	814-838	Adenomas and adenocarcinomas
8214/3	Parietal cell adenocarcinoma	814-838	Adenomas and adenocarcinomas
8215/3	Adenocarcinoma of anal glands	814-838	Adenomas and adenocarcinomas
8215/3	Adenocarcinoma of anal ducts	814-838	Adenomas and adenocarcinomas
8220/0	Adenomatous polyposis coli	814-838	Adenomas and adenocarcinomas
8220/0	Adenomatosis, NOS	814-838	Adenomas and adenocarcinomas
8220/0	Familial polyposis coli	814-838	Adenomas and adenocarcinomas
8220/3	Adenocarcinoma in adenomatous polyposis coli	814-838	Adenomas and adenocarcinomas
8221/0	Multiple adenomatous polyps	814-838	Adenomas and adenocarcinomas
8221/3	Adenocarcinoma in multiple adenomatous polyps	814-838	Adenomas and adenocarcinomas
8230/2	Ductal carcinoma in situ, solid type	814-838	Adenomas and adenocarcinomas
8230/2	Intraductal carcinoma, solid type	814-838	Adenomas and adenocarcinomas
8230/3	Solid carcinoma, NOS	814-838	Adenomas and adenocarcinomas
8230/3	Solid adenocarcinoma, NOS	814-838	Adenomas and adenocarcinomas
8230/3	Solid adenocarcinoma with mucin formation	814-838	Adenomas and adenocarcinomas
8231/3	Carcinoma simplex	814-838	Adenomas and adenocarcinomas
8240/3	Neuroendocrine tumor, NOS	814-838	Adenomas and adenocarcinomas
8240/3	Carcinoid tumor, NOS	814-838	Adenomas and adenocarcinomas
8240/3	Carcinoid, NOS	814-838	Adenomas and adenocarcinomas
8240/3	Neuroendocrine carcinoma, low grade	814-838	Adenomas and adenocarcinomas
8240/3	Neuroendocrine carcinoma, well differentiated	814-838	Adenomas and adenocarcinomas
8240/3	Typical carcinoid	814-838	Adenomas and adenocarcinomas
8241/3	Enterochromaffin cell carcinoid	814-838	Adenomas and adenocarcinomas
8241/3	Argentaffinoma, malignant	814-838	Adenomas and adenocarcinomas
8241/3	Carcinoid tumor, argentaffin, malignant	814-838	Adenomas and adenocarcinomas
